state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
loading_10pct,topological_min_cut,202,203,False,False,False,2.3658358869311615,2.4689999883827105,1.5797814427759709
loading_10pct,topological_min_cut,205,214,True,False,False,4.45675815099023,2.3814330453662342,0.9827847279625629
loading_10pct,topological_min_cut,209,244,False,False,False,2.3658293376433384,2.468999921412475,1.5797814374626877
loading_10pct,topological_min_cut,210,213,False,False,False,4.353005640035519,2.3544846635918706,0.7850884231597907
return_8pct,lost,73,81,True,False,False,2.751317374754034,2.806860772611469,-11.805346569120687
return_8pct,lost,74,78,True,False,False,2.7515802558817875,2.8068607821753737,-11.805346569268286
return_8pct,lost,147,182,True,True,False,2.410548890358691,3.6443544774239154,-0.3450701939759727
return_8pct,lost,149,184,False,True,False,2.3977817426084673,3.7031567933228997,-2.366393949227055
return_8pct,lost,150,151,False,True,False,2.3298649294032696,3.7668854827314746,-1.8794197709158482
return_8pct,lost,153,188,False,True,False,2.329914790613681,3.7668854805487664,-1.8794197723159027
return_8pct,lost,154,155,False,True,False,2.397686081388313,3.7031567948928683,-2.36639394319415
return_8pct,lost,167,200,False,False,False,2.340621949862695,3.2354788686245755,-1.6279017558284559
return_8pct,lost,175,208,False,False,False,2.340651035209827,3.2354788681372852,-1.6279017585027256
return_8pct,lost,175,210,False,False,False,2.3417410607743707,3.3837435842049963,-0.17807635830323465
return_8pct,lost,179,214,False,False,False,2.3640788888943844,3.6831113555204436,0.1595761903113816
return_8pct,lost,180,181,True,True,False,2.4107671692887997,3.6443544799298313,-0.3450701906352074
